nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Kendaraan Bermotor";"Tidak Ada";1982;Tahun;3764442;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1982;Tahun;5346995;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1983;Tahun;862424;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1983;Tahun;160260;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1983;Tahun;717873;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1983;Tahun;4135677;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1983;Tahun;5876234;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1984;Tahun;972148;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1984;Tahun;191654;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1984;Tahun;790881;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1984;Tahun;4556095;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1984;Tahun;6510778;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1985;Tahun;989158;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1985;Tahun;227304;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1985;Tahun;845338;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1985;Tahun;4794517;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1985;Tahun;6856317;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1986;Tahun;1063959;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1986;Tahun;256574;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1986;Tahun;882331;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1986;Tahun;5118907;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1986;Tahun;7321771;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1987;Tahun;1170103;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1987;Tahun;303378;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1987;Tahun;953694;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1987;Tahun;5554305;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1987;Tahun;7981480;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1988;Tahun;1073106;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1988;Tahun;385731;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1988;Tahun;892651;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1988;Tahun;5419531;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1988;Tahun;7771019;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1989;Tahun;1182253;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1989;Tahun;434903;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1989;Tahun;952391;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1989;Tahun;5722291;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1989;Tahun;8291838;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1990;Tahun;1313210;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1990;Tahun;468550;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1990;Tahun;1024296;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1990;Tahun;6082966;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1990;Tahun;8889022;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1991;Tahun;1494607;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1991;Tahun;504720;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1991;Tahun;1087940;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1991;Tahun;6494871;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1991;Tahun;9582138;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1992;Tahun;1590750;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1992;Tahun;539943;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1992;Tahun;1126262;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1992;Tahun;6941000;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1992;Tahun;10197955;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1993;Tahun;1700454;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1993;Tahun;568490;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1993;Tahun;1160539;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1993;Tahun;7355114;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1993;Tahun;10784597;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1994;Tahun;1890340;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1994;Tahun;651608;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1994;Tahun;1251986;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1994;Tahun;8134903;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1994;Tahun;11928837;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1995;Tahun;2107299;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1995;Tahun;688525;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1995;Tahun;1336177;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1995;Tahun;9076831;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1995;Tahun;13208832;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1996;Tahun;2409088;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1996;Tahun;595419;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1996;Tahun;1434783;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1996;Tahun;10090805;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1996;Tahun;14530095;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1997;Tahun;2639523;"Mobil Penumpang"
